text,gst
"a","h"
"able","a-b-l"
"about","a-b"
"achieve","a-ch-e-v"
"actually","a-k-t-l-e"
"add","a-d"
"addition","a-d-sh"
"am","m"
"an","h"
"and","nt"
"anniversary","a-n-e-v"
"annual","a-n-l"
"apply","a-p-l-i"
"arithmetic","a-r-e-th"
"arthritis","a-r-th-r-i"
"as to","a-s2-t-u"
"ashamed","a-sh-a-mt"
"assumption","a-s2-m-sh"
"attack","a-t-a-k"
"attend","a-tn-d"
"avenue","a-v-n-u"
"awake","h-u-a-k"
"baby","b-a-b-e"
"back","b-a-k"
"band","b-a-nt"
"bank","b-a-nk"
"base","b-a-s"
"bath","b-a-th"
"be","b"
"beat","b-e-t"
"before","b-f"
"below","b-l-o"
"bet","b-e-t"
"bit","b-e-t"
"blood","b-l-u-d"
"boat","b-o-t"
"boiler","b-o-e-l-r"
"bone","b-o-n"
"bonus","b-o-n-u-s"
"bore","b-o-r"
"boy","b-o-e"
"brain","b-r-a-n"
"brand","b-r-a-nt"
"briefly","b-r-e-f-e"
"broad","b-r-o-d"
"broken","b-r-o-k-n"
"burst","b-r-s2-t"
"bus","b-u-s"
"buyer","b-i-r"
"captain","k-a-p-tn"
"case","k-a-s"
"cash","k-a-sh"
"caution","k-o-sh"
"chain","ch-a-n"
"chamber","ch-a-m-b-r"
"check","ch-e-k"
"chest","ch-e-s2-t"
"chief","ch-e-f"
"class","k-l-a-s"
"climb","k-l-i-m"
"coach","k-o-ch"
"coast","k-o-s2-t"
"cold","k-o-ld"
"college","k-o-l-e-j"
"combination","k-b-n-sh"
"come","k-m"
"comment","k-mn-t"
"commission","k-m-sh"
"conceal","k-s-e-l"
"condition","k-d-sh"
"cool","k-u-l"
"core","k-o-r"
"could","k-d"
"couple","k-u-p-l"
"cream","k-r-e-m"
"create","k-r-ea-t"
"crisis","k-r-i-s-s"
"cross","k-r-o-s"
"cry","k-r-i"
"cut","k-u-t"
"damp","d-a-m-p"
"darkness","d-a-r-k-n-e-s"
"death","d-e-th"
"December","d-e-s"
"deed","d-e-d"
"deep","d-e-p"
"delay","d-l-a"
"die","d-i"
"display","d-s-p-l-a"
"dissolved","d-s-o-l-v-d"
"does","d-u-s"
"dog","d-o-g"
"dough","d-o"
"drink","d-r-e-nk"
"drive","d-r-i-v"
"drove","d-r-o-v"
"dry","d-r-i"
"due","d-u"
"each","e-ch"
"eager","e-g-r"
"earlier","e-r-e-r"
"ease","e-s"
"eat","e-t"
"egg","e-g"
"elephant","e-l-f-nt"
"elimination","e-l-e-mn-sh"
"error","e-r-r"
"etch","e-ch"
"even","e-v-n"
"event","e-v-nt"
"exceed","e-s2-e-d"
"factory","f-a-k-t-r-e"
"fail","f-a-l"
"faint","f-a-nt"
"fairly","f-a-r-e"
"faith","f-a-th"
"fare","f-a-r"
"fast","f-a-s2-t"
"February","f-e-b"
"fee","f-e"
"feel","f-e-l"
"feet","f-e-t"
"field","f-e-ld"
"fight","f-i-t"
"file","f-i-l"
"fill","f-e-l"
"final","f-i-n-l"
"finished","f-e-n-sh-t"
"flavor","f-l-a-v-r"
"flow","f-l-o"
"font","f-o-nt"
"fool","f-u-l"
"for the","f-th"
"for us","f-u-s"
"free","f-r-e"
"front","f-r-nt"
"fruit","f-r-u-t"
"gain","g-a-n"
"game","g-a-m"
"garment","g-a-r-m"
"gate","g-a-t"
"gold","g-o-ld"
"grain","g-r-a-n"
"graphic","g-r-a-f-k"
"grass","g-r-a-s"
"grateful","g-r-a-t-f"
"gray","g-r-a"
"green","g-r-e-n"
"grow","g-r-o"
"guide","g-i-d"
"half","h-a-f"
"hall","h-o-l"
"happen","h-a-p-n"
"happier","h-a-p-e-r"
"happy","h-a-p-e"
"hasten","h-a-s2-n"
"hate","h-a-t"
"have","v"
"hay","h-a"
"head","h-e-d"
"health","h-e-l-th"
"heater","h-e-t-r"
"help","h-e-l-p"
"helpful","h-e-l-p-f"
"hence","h-e-n-s"
"hero","h-e-r-o"
"hidden","h-e-tn"
"higher","h-i-r"
"hit","h-e-t"
"holiday","h-o-l-e-d-a"
"home","h-o-m"
"horse","h-o-r-s"
"hotel","h-o-t-e-l"
"hurry","h-e-r-e"
"I","a"
"I am","a-m"
"I have","a-v"
"I will be","a-l-b"
"I would","a-d"
"if","e-f"
"if the","e-f-th"
"ill","e-l"
"illness","e-l-n-e-s"
"immense","e-mn-s"
"important","m-p"
"in","n"
"ink","e-nk"
"inn","e-n"
"is","s"
"is the","s2-th"
"it","t"
"it was","t-o-s"
"jail","j-a-l"
"jealous","j-e-l-u-s"
"job","j-o-b"
"jockey","j-o-k-e"
"join","j-o-e-n"
"king","k-e-ng"
"kitchen","k-e-ch-n"
"knew","n-u"
"know","n-o"
"labor","l-a-b-r"
"lack","l-a-k"
"lake","l-a-k"
"lap","l-a-p"
"least","l-e-s2-t"
"lecture","l-e-k-t-r"
"less","l-e-s"
"library","l-i-b-r-r-e"
"lie","l-i"
"link","l-e-nk"
"lose","l-u-s"
"lot","l-o-t"
"lower","l-o-r"
"lumber","l-m-b-r"
"lunch","l-n-ch"
"made","m-a-d"
"maid","m-a-d"
"mailed","m-a2-ld"
"make","m-a-k"
"many","mn-e"
"marine","m-a-r-e-n"
"married","m-a-r-e-d"
"mass","m-a-s"
"me","m-e"
"meal","m-e-l"
"meat","m-e-t"
"meet","m-e-t"
"mention","mn-sh"
"metal","m-e-t-l"
"middle","m-e-d-l"
"mine","m-i-n"
"moment","m-o-m"
"moon","m-u-n"
"music","m-u-s2-e-k"
"narrow","n-a-r-o"
"national","n-a-sh-l"
"neat","n-e-t"
"needed","n-e-td"
"nest","n-e-s-t"
"new","n-u"
"nicely","n-i-s-e"
"no","n-o"
"noisy","n-o-e-s-e"
"nonsense","n-o-n-s2-e-n-s"
"noon","n-u-n"
"nor","n-o-r"
"noted","n-o-td"
"now","n-a-u"
"nurse","n-e-r-s"
"obey","o-b-a"
"obtain","o-b-tn"
"of these","o-th-e-s"
"of which","o-ch"
"off","o-f"
"often","o-f-n"
"on","o-n"
"on our","o-n-r"
"open","o-p-n"
"option","o-p-sh"
"our","r"
"ours","r-s"
"overcome","o/k-m"
"overflow","o/f-l-o"
"owe","o"
"owned","o-nt"
"package","p-a-k-j"
"palace","p-a-l-a-s"
"paper","p-a-p-r"
"parent","p-a-r-e-nt"
"patch","p-a-ch"
"pause","p-o-s"
"pay","p-a"
"permit","p-r-m-e-t"
"phrase","f-r-a-s"
"piano","p-ea-n-o"
"pie","p-i"
"pile","p-i-l"
"plain","p-l-a-n"
"plane","p-l-a-n"
"plant","p-l-a-nt"
"plenty","p-l-e-nt-e"
"plug","p-l-u-g"
"portion","p-o-r-sh"
"pretty","p-r-e-t-e"
"produce","p-r-o-d-u-s"
"quit","k-w-e-t"
"quote","k-w-o-t"
"race","r-a-s"
"rain","r-a-n"
"rank","r-a-nk"
"rapid","r-a-p-d"
"rapidly","r-a-p-d-e"
"ration","r-a-sh"
"reached","r-e-ch-t"
"reality","r-e/l"
"rear","r-e-r"
"reasonable","r-s2-n-b"
"reduce","r-e-d-u-s"
"reliable","r-e-l-i-b"
"rely","r-e-l-i"
"renew","r-e-n-u"
"rent","r-e-nt"
"repair","r-p-a-r"
"repayment","r-p-a-m"
"resigned","r-s2-i-nt"
"retail","r-e-t-a-l"
"reveal","r-v-e-l"
"ring","r-e-ng"
"rise","r-i-s"
"rolled","r-o-ld"
"roof","r-u-f"
"ruin","r-u-n"
"runner","r-n-r"
