text,gst,Sheet1 comparison,Sheet1 row,,Comparison summary,Result
a,h,Match,2,,commonGST values,454
able,a-b-l,Match,3,,Matches in Sheet1,453
about,a-b,Match,4,,Missing from Sheet1,1
achieve,a-ch-e-v,Match,5,,,
actually,a-k-t-l-e,Match,6,,,
add,a-d,Match,7,,,
addition,a-d-sh,Match,8,,,
am,m,Match,9,,,
an,h,Match,10,,,
and,nt,Match,11,,,
anniversary,a-n-e-v,Match,12,,,
annual,a-n-l,Match,13,,,
apply,a-p-l-i,Match,14,,,
arithmetic,a-r-e-th,Match,15,,,
arthritis,a-r-th-r-i,Match,16,,,
as to,a-s2-t-u,Match,17,,,
ashamed,a-sh-a-mt,Match,18,,,
assumption,a-s2-m-sh,Match,19,,,
attack,a-t-a-k,Match,20,,,
attend,a-tn-d,Match,21,,,
avenue,a-v-n-u,Match,22,,,
awake,h-u-a-k,Match,23,,,
baby,b-a-b-e,Match,24,,,
back,b-a-k,Match,25,,,
band,b-a-nt,Match,26,,,
bank,b-a-nk,Match,27,,,
base,b-a-s,Match,28,,,
bath,b-a-th,Match,29,,,
be,b,Match,30,,,
beat,b-e-t,Match,31,,,
before,b-f,Match,32,,,
below,b-l-o,Match,33,,,
bet,b-e-t,Match,34,,,
bit,b-e-t,Match,35,,,
blood,b-l-u-d,Match,36,,,
boat,b-o-t,Match,37,,,
boiler,b-o-e-l-r,Match,38,,,
bone,b-o-n,Match,39,,,
bonus,b-o-n-u-s,Match,40,,,
bore,b-o-r,Match,41,,,
boy,b-o-e,Match,42,,,
brain,b-r-a-n,Match,43,,,
brand,b-r-a-nt,Match,44,,,
briefly,b-r-e-f-e,Match,45,,,
broad,b-r-o-d,Match,46,,,
broken,b-r-o-k-n,Match,47,,,
burst,b-r-s2-t,Match,48,,,
bus,b-u-s,Match,49,,,
buyer,b-i-r,Match,50,,,
captain,k-a-p-tn,Match,51,,,
case,k-a-s,Match,52,,,
cash,k-a-sh,Match,53,,,
caution,k-o-sh,Match,54,,,
chain,ch-a-n,Match,55,,,
chamber,ch-a-m-b-r,Match,56,,,
