Portfolio,Symbol,Shares,Last,Net Change,Cost Basis/Share,Gain/Loss,Value
"Fidelity jensx missing","JENSX",1163.000,40.93,0.00,40.00,1081.59,47601.59
"JENSX 8710","JENSX",3012.461,40.93,0.00,26.53,43368.03,123300.03
"JENSX 8710","Cash ($)",11.870,1.00,,,,11.87
"JNJ taxable ...260","SNSXX",78006.500,1.00,0.00,-1.00,156013.00,78006.50
"JNJ taxable ...260","BRK/B",580.000,479.67,-5.53,,,278209.76
"JNJ taxable ...260","CAT",800.000,790.55,3.48,,,632440.00
"JNJ taxable ...260","AAPL",5600.000,260.47,-0.02,,,1458632.00
"JNJ taxable ...260","JNJ",19297.463,238.32,-2.99,,,4598971.41
"JNJ taxable ...260","Cash ($)",1876.690,1.00,,,,1876.69
"Managed 5070","IWS",18.325,151.47,-0.72,134.24,315.69,2775.69
"Managed 5070","IWP",48.006,130.30,-1.11,23.51,5126.48,6255.18
"Managed 5070","IVV",13.729,682.45,-0.56,458.99,3067.88,9369.36
"Managed 5070","IEMG",228.000,74.27,0.33,37.05,8484.92,16932.42
"Managed 5070","BND",292.000,73.65,-0.10,13.20,17651.19,21505.80
"Managed 5070","IEFA",236.000,95.38,0.24,86.12,2184.78,22509.68
"Managed 5070","IWD",119.000,221.86,-1.31,111.77,13100.34,26401.34
"Managed 5070","IWF",66.374,446.39,1.18,63.58,25408.69,29628.69
"Managed 5070","Cash ($)",1060.090,1.00,,,,1060.09
"Moss CIA IRA ...513","HYI",180.000,10.78,-0.10,,,1940.40
"Moss CIA IRA ...513","EFR",210.000,10.52,-0.05,,,2209.20
"Moss CIA IRA ...513","SNSXX",2957.550,1.00,0.00,-1.00,5915.10,2957.55
"Moss CIA IRA ...513","CPXIX",287.396,12.50,0.00,,,3592.45
"Moss CIA IRA ...513","JFR",506.000,7.52,0.02,,,3805.12
"Moss CIA IRA ...513","UPS",110.000,101.66,0.02,,,11182.60
"Moss CIA IRA ...513","QCOM",102.000,128.01,0.26,-156.37,29006.94,13057.02
"Moss CIA IRA ...513","AXP",42.000,313.78,-3.99,-241.52,23322.60,13178.76
"Moss CIA IRA ...513","ABBV",64.000,208.21,-4.19,-202.72,26299.59,13325.44
"Moss CIA IRA ...513","PG",92.000,145.14,-1.52,-160.18,28089.20,13352.88
"Moss CIA IRA ...513","LMT",22.000,613.63,-10.24,-470.80,23857.45,13499.86
"Moss CIA IRA ...513","MRSH",81.000,168.00,-5.14,-207.64,30426.94,13608.00
"Moss CIA IRA ...513","HON",60.000,235.07,-0.99,-209.97,26702.55,14104.20
"Moss CIA IRA ...513","NEM",117.000,120.79,1.78,-86.97,24308.27,14132.43
"Moss CIA IRA ...513","CMI",24.000,615.75,4.76,-329.85,22694.39,14778.00
"Moss CIA IRA ...513","ASML",10.000,1478.29,29.65,-1107.95,25862.41,14782.90
"Moss CIA IRA ...513","CVX",79.000,188.53,-1.83,-145.09,26355.81,14893.87
"Moss CIA IRA ...513","XLV",134.000,147.35,-1.98,,,19744.90
"Moss CIA IRA ...513","INTC",382.000,62.37,0.65,,,23825.34
"Moss CIA IRA ...513","XLK",178.000,142.57,0.50,-145.53,51282.69,25377.46
"Moss CIA IRA ...513","MRK",248.000,121.45,-1.23,,,30119.60
"Moss CIA IRA ...513","XLF",875.000,50.78,-0.55,,,44432.50
"Moss CIA IRA ...513","SMDV",630.000,72.20,-0.50,,,45486.00
"Moss CIA IRA ...513","JNJ",223.000,238.32,-2.99,,,53145.36
"Moss CIA IRA ...513","SDY",502.227,147.30,-1.37,,,73977.99
"Moss CIA IRA ...513","EMLP",2120.000,44.09,-0.13,,,93470.80
"Moss CIA IRA ...513","DGRO",3883.887,71.74,-0.54,,,278630.04
"Moss CIA IRA ...513","Cash ($)",5639.530,1.00,,,,5639.53
"Moss POP IRA ...815","AXON",31.000,346.85,-4.48,-547.60,27727.83,10752.35
"Moss POP IRA ...815","FICO",13.000,925.28,-147.07,-1408.94,30344.91,12028.64
"Moss POP IRA ...815","LDOS",103.000,152.86,-2.77,-121.90,28300.75,15744.58
"Moss POP IRA ...815","PSKY",1537.000,10.62,-0.23,,,16315.26
"Moss POP IRA ...815","EFX",92.000,177.89,-4.01,-265.11,40755.64,16365.88
"Moss POP IRA ...815","INTU",48.000,351.03,-10.66,-436.36,37794.72,16849.44
"Moss POP IRA ...815","PODD",86.000,196.93,-2.49,-304.85,43152.81,16935.98
"Moss POP IRA ...815","COIN",101.000,167.80,-1.22,-245.94,41787.97,16947.80
"Moss POP IRA ...815","CEG",60.000,286.57,6.32,-292.69,34755.30,17194.20
"Moss POP IRA ...815","AOS",262.000,65.95,-1.32,,,17278.90
"Moss POP IRA ...815","MA",35.000,498.72,-4.85,-462.88,33656.18,17455.20
"Moss POP IRA ...815","INCY",182.000,96.13,-0.83,-83.51,32695.06,17495.66
"Moss POP IRA ...815","V",58.000,304.67,-3.62,-330.57,36843.92,17670.86
"Moss POP IRA ...815","PLTR",139.000,128.05,-2.44,-144.94,37945.21,17798.95
"Moss POP IRA ...815","DASH",120.000,152.69,-1.86,-224.25,45233.19,18322.80
"Moss POP IRA ...815","SWK",262.000,72.20,-1.23,-70.38,37356.59,18916.40
"Moss POP IRA ...815","HII",48.000,394.54,-8.83,-321.26,34358.35,18937.92
"Moss POP IRA ...815","IP",520.000,36.52,-0.26,-37.29,38381.15,18990.40
"Moss POP IRA ...815","TXT",213.000,91.32,-0.09,,,19451.16
"Moss POP IRA ...815","QCOM",152.000,128.01,0.26,-152.41,42624.20,19457.52
"Moss POP IRA ...815","LMT",32.000,613.63,-10.24,,,19636.16
"Moss POP IRA ...815","GILD",142.000,139.01,-3.08,-118.24,36528.97,19739.42
"Moss POP IRA ...815","VRSN",76.000,259.92,-9.96,-238.65,37891.66,19753.92
"Moss POP IRA ...815","MRNA",390.000,51.01,-0.27,-54.09,40987.05,19893.90
"Moss POP IRA ...815","SNSXX",20000.000,1.00,0.00,-1.00,40000.00,20000.00
"Moss POP IRA ...815","YUM",124.000,161.64,0.85,,,20043.36
"Moss POP IRA ...815","FOXA",332.000,61.02,-1.74,-47.67,36085.26,20258.64
"Moss POP IRA ...815","BF/B",694.000,29.46,-0.85,,,20445.24
"Moss POP IRA ...815","VRTX",47.000,436.31,-10.47,-334.52,36228.82,20506.57
"Moss POP IRA ...815","DXCM",326.000,64.00,-1.68,-71.34,44120.76,20864.00
"Moss POP IRA ...815","PSX",131.000,159.32,-1.75,-161.94,42085.06,20870.92
"Moss POP IRA ...815","GD",63.000,334.74,-7.57,,,21088.62
"Moss POP IRA ...815","FSLR",104.000,203.35,6.10,-202.76,42235.11,21148.40
"Moss POP IRA ...815","BX",186.000,114.82,-2.08,-134.45,46364.82,21356.52
"Moss POP IRA ...815","ALB",124.000,173.50,1.15,-125.13,37030.15,21514.00
"Moss POP IRA ...815","MO",322.000,67.32,-0.14,,,21677.04
"Moss POP IRA ...815","AMGN",62.000,350.94,-4.66,-273.29,38702.35,21758.28
"Moss POP IRA ...815","MTCH",689.000,31.69,-0.80,-35.54,46319.46,21834.41
"Moss POP IRA ...815","EBAY",229.000,95.38,-0.20,-81.51,40505.70,21840.88
"Moss POP IRA ...815","NOC",33.000,674.29,-16.28,,,22251.57
"Moss POP IRA ...815","BMY",380.000,58.59,-0.88,-48.23,40590.88,22264.20
"Moss POP IRA ...815","HON",97.000,235.07,-0.99,-208.72,43047.46,22801.79
"Moss POP IRA ...815","DVA",157.000,149.94,-0.74,-104.34,39922.08,23540.58
"Moss POP IRA ...815","BIIB",139.000,172.95,-4.16,,,24040.05
"Moss POP IRA ...815","FDX",66.000,373.91,-3.09,-265.00,42168.28,24678.06
